SiteID,WatershedC,Latitude,Longitude,YearDeploy,Ecoregions
RW12,RW,40.11579,-123.88426,2022,Coast Range
RW13,RW,40.12052,-123.87625,2022,Coast Range
RW14,RW,40.1272,-123.86688,2022,Coast Range
RW15,RW,40.10306,-123.90655,2022,Coast Range
RW16,RW,40.10165,-123.90688,2022,Coast Range
RW17,RW,40.10161,-123.88699,2022,Coast Range
RW18,RW,40.10199,-123.8988,2022,Coast Range
RW19,RW,40.09956,-123.895688,2022,Coast Range
RW20,RW,40.11239,-123.88574,2022,Coast Range
RW21,RW,40.10326,-123.90363,2022,Coast Range
STEV1,STEV,37.28077,-122.11536,2021,Coast Range
STEV2,STEV,37.27889,-122.11101,2021,Coast Range
STEV3,STEV,37.28333,-122.11524,2021,Coast Range
STEV4,STEV,37.28126,-122.11301,2021,Coast Range
WAAU1,WAAU,38.51145,-123.12834,2022,Coast Range
WAAU2,WAAU,38.5137,-123.12648,2022,Coast Range
WAAU3,WAAU,38.52142,-123.13475,2022,Coast Range
WAAU4,WAAU,38.5219,-123.13718,2022,Coast Range
ZASL1,ZASL,37.1033,-122.03646,2021,Coast Range
ZASL2,ZASL,37.1007,-122.04465,2021,Coast Range
ZASL3,ZASL,37.10153,-122.03584,2021,Coast Range
ELDO1,ELDO,39.13892,-120.68323,2022,Sierra Nevada
ELDO2,ELDO,39.14337,-120.67572,2022,Sierra Nevada
ELDO3,ELDO,39.14791,-120.67365,2022,Sierra Nevada
ELDO4,ELDO,39.1411,-120.67926,2022,Sierra Nevada
FORE1,FORE,38.39484,-120.46688,2022,Sierra Nevada
FORE2,FORE,38.39146,-120.47015,2022,Sierra Nevada
FORE3,FORE,38.39461,-120.47023,2022,Sierra Nevada
FORE4,FORE,38.39281,-120.46794,2022,Sierra Nevada
HUSY1,HUSY,39.38991,-120.88611,2022,Sierra Nevada
HUSY2,HUSY,39.38932,-120.89761,2022,Sierra Nevada
HUSY3,HUSY,39.39088,-120.90186,2022,Sierra Nevada
HUSY4,HUSY,39.38717,-120.8922,2022,Sierra Nevada
MABE1,MABE,39.11018,-121.00234,2022,Sierra Nevada
MABE2,MABE,39.10877,-120.99057,2022,Sierra Nevada
MABE3,MABE,39.112,-120.99991,2022,Sierra Nevada
MABE4,MABE,39.10849,-120.99592,2022,Sierra Nevada
WELT1,WELT,39.45671,-120.39181,2022,Sierra Nevada
WELT2,WELT,39.45458,-120.39578,2022,Sierra Nevada
WELT3,WELT,39.46177,-120.39102,2022,Sierra Nevada
WELT4,WELT,39.46583,-120.38916,2022,Sierra Nevada
WOMY1,WOMY,39.40022,-120.89787,2022,Sierra Nevada
WOMY2,WOMY,39.40042,-120.89296,2022,Sierra Nevada
WOMY3,WOMY,39.40049,-120.88967,2022,Sierra Nevada
WOMY4,WOMY,39.40074,-120.90069,2022,Sierra Nevada
